20;Чтение группового адреса счетчика;handle_command_27
21;Чтение внутренних часов и календаряsчетчика;handle_command_27
22;Чтение лимита мощности;handle_command_27
23;Чтение лимитаsнергии за месяц;handle_command_27
24;Чтение флага сезонного времени;handle_command_27
25;Чтение величины коррекции времени;handle_command_27
26;Чтение текущей мощности в нагрузке;handle_command_27
27;Чтение содержимого тарифных аккумуляторов активной энергии;handle_command_27
28;Чтение идентификационных данных счетчика;handle_command_27
29;Чтение напряжения на литиевой батарее;handle_command_27
2A;Чтение режима индикации;handle_command_27
2B;Чтение времени последнего отключения напряжения;handle_command_27
2C;Чтение времени последнего включения напряжения;handle_command_27
2D;Чтение функции выходного оптрона;handle_command_27
2E;Чтение кол-ва действующих тарифов;handle_command_27
2F;Чтение серийногоsомера;handle_command_27
60;Чтение тарифа;handle_command_27
61;Чтение времени последнего вскрытияsрышки счётчика;handle_command_27
62;Чтение времени последнего закрытия крышки счётчика;handle_command_27
63;Чтение  значений U,I,P;handle_command_27
64;Чтение коэффициента  коррекции хода часовsведена для чтения коэффициента  коррекции без перемычки.;handle_command_27
65;Чтение слова исполнения;handle_command_27
66;Чтение даты изготовления;handle_command_27
67;Чтение времени индикации;handle_command_27
68;Чтение режима лимита мощности;handle_command_27
69;Чтение времениsаработки;handle_command_27
6A;Чтение  режима доп. индикации;handle_command_27
6B;Чтение времени последней парам. счётчика;handle_command_27
6C;Чтение номера модема и системы и уровня сигнала;handle_command_27
6D;Чтение режима управления реле;handle_command_27
6E;Чтение потарифных лимитов Энергии (остатки);handle_command_27
6F;Чтение флага разрешения индикацииsод батарейкой;handle_command_27